Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2020-08-02;57,00;0,00;5,00;2,00;2,00;0,00;0,00;8,00;2,00;8,00;9,00;10,00;7,00;0,00;1,00;0,00;6,00;1,00;1,00;0,00;6,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-08-09;49,00;1,00;2,00;3,00;8,00;3,00;1,00;0,00;0,00;1,00;2,00;10,00;12,00;1,00;2,00;0,00;2,00;1,00;0,00;0,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-08-16;61,00;1,00;3,00;2,00;0,00;0,00;1,00;3,00;0,00;1,00;8,00;5,00;8,00;0,00;1,00;1,00;3,00;0,00;1,00;0,00;11,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-08-23;50,00;0,00;2,00;0,00;1,00;2,00;0,00;3,00;0,00;11,00;1,00;1,00;5,00;0,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-30;44,00;3,00;2,00;2,00;1,00;0,00;1,00;2,00;0,00;1,00;3,00;2,00;3,00;0,00;2,00;1,00;3,00;1,00;1,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-06;46,00;1,00;2,00;2,00;2,00;1,00;1,00;4,00;1,00;4,00;8,00;4,00;6,00;0,00;0,00;0,00;1,00;1,00;0,00;1,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2020-09-13;45,00;1,00;4,00;1,00;1,00;0,00;1,00;2,00;0,00;4,00;2,00;4,00;1,00;0,00;3,00;0,00;2,00;0,00;5,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;53,00;4,00;0,00;1,00;2,00;2,00;0,00;4,00;1,00;1,00;6,00;5,00;4,00;0,00;1,00;0,00;3,00;0,00;1,00;0,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2020-09-27;36,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;3,00;3,00;1,00;7,00;0,00;2,00;1,00;1,00;0,00;1,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-10-04;55,00;1,00;1,00;1,00;1,00;1,00;0,00;3,00;1,00;3,00;7,00;0,00;3,00;0,00;2,00;1,00;3,00;0,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
